STATE,RATE,POLICY,numRecordsOutPerSecond_avg
1,1000,conservative,998.7916666666666
1,1000,ondemand,999.4372549019608
1,1000,performance,998.8277777777779
1,1000,powersave,998.9351851851853
1,1000,schedutil,999.8314814814815
1,100,conservative,95.03557173678533
1,100,ondemand,95.26426645091694
1,100,performance,95.12947680690398
1,100,powersave,95.2371359223301
1,100,schedutil,95.16267529665589
1,1100,conservative,1099.9851851851852
1,1100,ondemand,1100.1287037037034
1,1100,performance,1099.0107843137253
1,1100,powersave,1096.0564814814816
1,1100,schedutil,1098.7
1,1200,conservative,1199.039814814815
1,1200,ondemand,1197.2657407407407
1,1200,performance,1196.3666666666668
1,1200,powersave,1197.5537037037038
1,1200,schedutil,1200.0046296296293
1,1300,conservative,1258.113888888889
1,1300,ondemand,1293.3039215686276
1,1300,performance,1298.4935185185184
1,1300,powersave,1292.726851851852
1,1300,schedutil,1247.752777777778
1,1400,conservative,1388.400925925926
1,1400,ondemand,1262.9259259259259
1,1400,performance,1330.4870370370372
1,1400,powersave,1387.8037037037036
1,1400,schedutil,1307.7037037037037
1,1500,conservative,1431.5784313725492
1,1500,ondemand,1416.0064814814816
1,1500,performance,1384.414705882353
1,1500,powersave,1323.7685185185187
1,1500,schedutil,1444.0583333333334
1,1600,conservative,1315.6722222222224
1,1600,ondemand,1437.875
1,1600,performance,1436.4074074074076
1,1600,powersave,1343.1592592592592
1,1600,schedutil,1418.1444444444446
1,1700,conservative,1404.3712962962961
1,1700,ondemand,1427.1472222222221
1,1700,performance,1324.6157407407406
1,1700,powersave,1409.514705882353
1,1700,schedutil,1379.6009259259258
1,1800,conservative,1336.4916666666666
1,1800,ondemand,1395.210185185185
1,1800,performance,1342.6351851851848
1,1800,powersave,1303.3351851851849
1,1800,schedutil,1294.322222222222
1,1900,conservative,1438.6203703703702
1,1900,ondemand,1306.1083333333331
1,1900,performance,1293.5235294117647
1,1900,powersave,1306.2138888888887
1,1900,schedutil,1300.8370370370371
1,2000,conservative,1302.3675925925927
1,2000,ondemand,1438.2175925925926
1,2000,performance,1424.334259259259
1,2000,powersave,1392.0333333333333
1,2000,schedutil,1385.6555555555556
1,200,conservative,200.0
1,200,ondemand,200.0
1,200,performance,200.0
1,200,powersave,200.0
1,200,schedutil,199.9425925925926
1,300,conservative,300.0
1,300,ondemand,300.012962962963
1,300,performance,300.0
1,300,powersave,300.0
1,300,schedutil,299.8588235294117
1,400,conservative,399.9296296296295
1,400,ondemand,400.0
1,400,performance,400.0
1,400,powersave,400.0
1,400,schedutil,400.0
1,500,conservative,499.25
1,500,ondemand,499.89629629629627
1,500,performance,499.82500000000005
1,500,powersave,499.9638888888889
1,500,schedutil,499.9935185185185
1,600,conservative,599.7872549019608
1,600,ondemand,600.1796296296295
1,600,performance,600.5398148148148
1,600,powersave,599.9019607843138
1,600,schedutil,599.8500000000001
1,700,conservative,700.0
1,700,ondemand,699.7222222222222
1,700,performance,699.6898148148147
1,700,powersave,700.0
1,700,schedutil,699.6046296296295
1,800,conservative,801.0398148148148
1,800,ondemand,799.8175925925926
1,800,performance,799.7111111111111
1,800,powersave,800.150925925926
1,800,schedutil,799.6574074074075
1,900,conservative,900.0101851851853
1,900,ondemand,899.9657407407408
1,900,performance,899.837037037037
1,900,powersave,899.5231481481483
1,900,schedutil,899.9518518518518
0,1000,conservative,999.9078431372548
0,1000,ondemand,998.7287037037038
0,1000,performance,999.688888888889
0,1000,powersave,998.4055555555556
0,1000,schedutil,998.9529411764706
0,100,conservative,95.1303889789303
0,100,ondemand,95.08702804746494
0,100,performance,95.16410048622366
0,100,powersave,95.13068611561317
0,100,schedutil,95.00428802588996
0,1100,conservative,1098.8675925925927
0,1100,ondemand,1099.1620370370372
0,1100,performance,1097.6805555555557
0,1100,powersave,1099.9203703703704
0,1100,schedutil,1098.4870370370368
0,1200,conservative,1196.7490740740743
0,1200,ondemand,1191.8305555555555
0,1200,performance,1195.2999999999997
0,1200,powersave,1173.596296296296
0,1200,schedutil,1197.4203703703704
0,1300,conservative,1292.2490740740739
0,1300,ondemand,1282.2851851851851
0,1300,performance,1286.789814814815
0,1300,powersave,1278.3740740740743
0,1300,schedutil,1281.4324074074075
0,1400,conservative,1385.7676470588235
0,1400,ondemand,1295.9249999999997
0,1400,performance,1306.789814814815
0,1400,powersave,1299.650925925926
0,1400,schedutil,1298.1277777777775
0,1500,conservative,1306.1787037037036
0,1500,ondemand,1287.2555555555552
0,1500,performance,1357.1324074074073
0,1500,powersave,1402.2888888888892
0,1500,schedutil,1373.7305555555556
0,1600,conservative,1423.5777777777776
0,1600,ondemand,1177.7212962962963
0,1600,performance,1332.962962962963
0,1600,powersave,1323.9435185185184
0,1600,schedutil,1289.9194444444443
0,1700,conservative,1314.4731481481479
0,1700,ondemand,1337.0392156862745
0,1700,performance,1291.9203703703702
0,1700,powersave,1307.8425925925924
0,1700,schedutil,1388.1685185185186
0,1800,conservative,1332.621568627451
0,1800,ondemand,1285.4194444444443
0,1800,performance,1286.2055555555553
0,1800,powersave,1401.0657407407407
0,1800,schedutil,1297.9462962962962
0,1900,conservative,1369.0694444444446
0,1900,ondemand,1309.898148148148
0,1900,performance,1246.5509259259259
0,1900,powersave,1324.7324074074077
0,1900,schedutil,1252.5296296296297
0,2000,conservative,1297.7787037037035
0,2000,ondemand,1429.2370370370368
0,2000,performance,1290.25
0,2000,powersave,1301.2583333333334
0,2000,schedutil,1328.6592592592594
0,200,conservative,200.0686274509804
0,200,ondemand,200.0
0,200,performance,200.07777777777778
0,200,powersave,200.01851851851853
0,200,schedutil,200.0
0,300,conservative,300.0
0,300,ondemand,300.0
0,300,performance,300.0
0,300,powersave,300.0
0,300,schedutil,300.0
0,400,conservative,400.0
0,400,ondemand,400.0
0,400,performance,400.2416666666667
0,400,powersave,400.0
0,400,schedutil,400.0
0,500,conservative,500.0
0,500,ondemand,500.0764705882352
0,500,performance,499.5074074074074
0,500,powersave,499.9156862745099
0,500,schedutil,499.38888888888897
0,600,conservative,600.0
0,600,ondemand,600.0407407407407
0,600,performance,599.9527777777779
0,600,powersave,600.0037037037038
0,600,schedutil,599.9694444444444
0,700,conservative,699.7796296296297
0,700,ondemand,699.9490740740742
0,700,performance,698.4648148148149
0,700,powersave,699.9592592592593
0,700,schedutil,699.9186274509804
0,800,conservative,800.0
0,800,ondemand,799.4879629629628
0,800,performance,800.0
0,800,powersave,800.0
0,800,schedutil,799.921568627451
0,900,conservative,900.0888888888888
0,900,ondemand,900.6231481481481
0,900,performance,899.2611111111112
0,900,powersave,899.8382352941177
0,900,schedutil,899.9509803921568
